,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
6511,0,1,4,2,5,0,1,1,0,1,0,1,0,1,1,12.09,29.43,-0.24,2.24,7.38,-0.59,4.93
14370,0,1,1,4,4,0,1,1,1,1,0,1,1,0,0,12.06,26.75,3.75,0.49,7.03,0.88,6.17
18960,1,1,4,2,2,1,0,0,1,0,1,0,1,1,0,11.98,26.51,0.23,-0.79,7.41,0.81,6.58
18594,1,1,1,2,2,0,0,0,0,1,1,0,0,1,0,12.3,28.25,-0.33,2.66,7.36,-0.02,5.5
6220,0,1,5,5,5,0,0,0,1,0,1,1,1,0,1,12.16,25.61,-0.51,1.84,7.55,0.04,6.59
13157,0,1,5,4,5,0,1,1,0,0,0,1,1,0,0,11.75,28.34,-3.33,-5,7.65,1.66,7.15
8615,0,1,1,4,3,1,0,1,1,0,1,0,1,0,0,11.7,27.94,3.75,2.53,7.26,-0.47,6.49
6795,0,1,3,5,5,1,0,1,0,0,0,0,0,0,0,12.26,25.19,-0.09,-1.02,7.3,-0.14,4.68
19293,1,1,4,5,3,0,0,1,0,1,1,1,1,1,1,12.17,27.11,1.77,-7.33,7.67,-0.34,6.82
5465,0,1,5,4,5,0,1,1,1,1,1,1,1,0,1,11.77,28.25,0.95,-4.1,7.31,3.65,7.26
19022,1,1,2,3,3,0,1,1,0,0,0,0,0,1,1,12.26,30.96,0.28,4.5,7.69,2.25,5.09
3219,0,1,5,5,5,0,0,1,0,1,0,0,0,0,0,11.69,27.88,-1.91,2.81,7.89,0.16,5.21
17940,1,0,4,1,2,0,1,1,1,0,1,1,1,0,0,12.19,28.07,2.37,-1.12,7.02,0.5,6.11
686,0,1,5,4,3,0,0,0,1,0,1,1,0,0,0,12.29,28.22,2.04,-1.81,7.87,1.76,5.2
1242,0,1,3,5,1,0,0,0,1,0,0,1,0,1,0,12.04,28.88,-2.27,-0.58,7.32,-0.89,4.77
1213,0,0,4,3,4,1,0,1,0,1,0,1,1,0,0,11.98,29.91,6.27,0.18,7.55,-0.73,6.36
12696,0,1,3,4,1,1,1,1,1,0,1,1,1,0,0,12.02,25.93,2.08,-1.58,7.52,-1.47,4.11
3680,0,1,4,5,2,1,1,1,0,0,1,0,0,0,0,12.06,29.01,2.06,-2.76,7.4,-3.59,6.03
517,0,0,4,2,3,0,1,1,1,0,1,0,1,0,0,11.97,25.29,2.28,5.23,7.69,0.36,5.31
16680,1,1,2,4,4,0,1,0,0,1,0,1,0,0,1,11.58,27.57,-0.54,3.27,7.47,1.14,5.02
3628,0,1,4,4,2,1,1,1,1,0,0,1,1,0,0,12.24,29.28,1.2,1.29,7.52,0.58,5.03
9594,0,1,3,4,4,0,0,0,1,1,0,0,1,1,0,11.66,25.48,3.44,2.7,7.26,-1.19,4.09
8298,0,1,1,2,3,0,0,1,1,0,1,0,0,0,1,12.18,27.75,3.9,4.49,7.29,-2.19,3.26
6119,0,1,5,2,4,1,1,0,0,0,1,1,0,1,1,12.05,28.73,1.31,-0.68,7.64,-1.88,4.43
19121,1,1,4,4,1,0,0,1,1,0,1,1,1,0,1,12.34,29.94,-1.44,2.75,7.33,2.93,6.01
974,0,0,2,2,3,1,0,1,1,0,0,1,0,0,0,12.14,26.2,0.99,-1.03,7.66,-1.27,6.58
6009,0,1,1,2,4,0,1,0,0,0,1,0,0,0,0,12.13,28.91,0.61,1.19,7.67,-3.15,4.29
800,0,1,2,4,3,1,1,0,0,0,1,1,1,0,1,11.95,30.59,-1.89,2.67,7.74,3.3,5.52
9041,0,1,4,4,4,0,0,0,0,0,1,1,1,0,0,12.27,31.45,0.12,11.33,7.5,-0.76,6.46
3036,0,1,3,5,3,1,0,1,1,0,0,0,0,0,1,11.96,29.1,1.19,-1.9,7.3,-0.06,7.07
13655,0,1,5,4,4,0,1,0,0,1,1,0,1,1,0,11.79,28.52,0.58,-5.07,7.63,-2.29,6.06
18209,1,1,3,2,3,1,1,0,0,1,1,1,0,0,1,12.3,29.42,3.29,8.26,7.69,-0.66,5.41
7992,0,1,3,2,4,1,1,0,0,0,0,1,0,0,0,11.97,30.92,1.52,-4.78,7.22,-0.29,6.47
3657,0,1,3,3,5,1,0,1,0,1,1,0,0,1,0,11.97,30.66,2.63,-3.04,7.45,3.73,5.55
13337,0,1,5,2,2,0,0,1,0,0,1,1,1,0,0,11.65,31.29,-1.56,7.46,7.8,3.41,5.17
16196,1,1,5,3,2,1,1,1,1,0,1,1,0,0,1,12.24,29.82,1.99,-5.2,7.81,1.45,6.86
4039,0,1,2,4,3,1,0,0,0,1,0,0,1,0,0,12.3,28.13,2.33,1.16,7.39,0.57,5
3656,0,1,5,4,3,1,1,1,1,1,0,0,1,0,1,11.99,23.17,3.03,1.07,7.67,3.64,5.09
7982,0,1,3,4,4,0,0,1,0,0,1,0,0,1,1,12.25,30.12,3.75,2.79,7.54,-0.77,6.52
10449,0,1,4,5,5,0,0,0,0,0,1,0,1,0,1,12.04,30.01,2.1,-6.54,7.31,0.9,4.01
3612,0,0,5,3,5,0,1,0,0,1,0,1,0,0,1,11.95,30.75,4.12,-0.42,7.55,0.38,4.92
10176,0,0,1,2,5,0,0,1,0,1,0,0,1,1,0,11.82,26.96,3.02,0.33,7.63,1.34,6.85
9203,0,0,1,3,4,1,1,0,1,0,1,0,1,1,1,12.02,29.6,-0.62,-3.16,7.36,-0.83,7.22
15191,1,1,3,2,1,0,0,0,1,0,1,0,1,0,0,11.95,26.43,2.69,2.9,7.23,-1.23,4.41
14525,0,0,4,5,5,0,0,0,0,1,1,0,1,0,0,12.24,26.5,2.26,2.76,7.83,-1.14,7.19
8682,0,1,4,5,5,0,1,1,0,1,1,0,1,1,0,11.9,28.31,0.75,1.31,7.42,2.02,6.93
18935,1,0,4,3,1,0,1,1,0,0,0,1,0,1,1,12.18,27.78,-0.08,-2.88,7.28,-1.16,4.7
5074,0,0,1,5,4,0,1,1,1,1,1,1,1,1,0,12.01,26.86,2.19,1.68,7.47,-1.02,6.1
18313,1,0,4,3,2,0,0,1,0,0,0,1,1,0,1,11.89,26.39,0.03,4.57,7.4,2.12,6.67
5383,0,0,5,5,3,0,0,0,1,0,1,1,1,1,0,12.11,29.37,1.37,9.14,7.05,1.44,4.94
1778,0,1,4,5,5,1,0,1,1,0,1,0,0,1,1,11.82,28.02,5.1,4.09,7.27,0.82,6.02
8059,0,1,1,0,3,0,0,1,1,0,1,0,1,1,1,12.25,26.12,1.31,2.86,7.81,-2.13,5.28
1249,0,1,5,4,4,1,1,0,0,1,1,0,0,0,1,12.41,29.09,2.62,1.79,7.3,-2.18,6.17
2340,0,1,2,4,3,0,1,0,0,1,0,1,1,0,0,11.61,28.64,4.74,-0.52,7.37,3.25,6.85
16808,1,1,5,5,4,0,1,0,1,1,0,0,0,0,0,12.22,27,1.82,-4.79,7,2.24,8.78
16849,1,1,4,3,3,0,1,0,0,0,0,1,1,1,0,12.06,28.79,1.18,0.35,7.76,5.07,6.65
18159,1,0,3,5,5,1,0,0,1,0,1,0,0,1,1,12.18,29.12,0.34,-0.12,7.57,-0.24,6.4
10981,0,1,1,4,4,0,1,0,0,0,1,1,1,0,1,12.24,26.23,1.11,-0.59,7.1,-1.72,5.89
4975,0,1,5,2,3,0,1,1,0,1,1,1,1,1,0,12.3,25.79,2.51,3.62,7.5,1.71,7.6
13316,0,1,5,4,4,1,1,0,0,1,1,1,1,0,1,12.28,30.4,-1.12,1.27,7.43,0.82,7.36
14058,0,1,3,4,1,0,1,0,1,0,0,1,0,1,1,11.84,29.65,3.01,3.39,7.46,0.95,5.8
7592,0,1,3,2,4,1,1,1,0,0,1,1,0,1,0,12.08,28.96,-0.32,1.33,7.98,-0.38,6.64
7900,0,0,3,4,2,0,1,0,0,1,1,0,0,0,1,11.98,25.63,0.86,-2.32,7.58,-1.07,6.65
19844,1,0,3,1,5,1,0,1,1,0,1,1,0,1,1,12.16,26.25,1.47,-5.21,7.64,-2.67,5.58
18580,1,1,4,4,2,0,1,1,0,1,0,0,0,0,0,11.97,27.76,-0.55,0.78,7.88,1.03,6.96
4286,0,0,3,4,1,1,1,1,0,0,1,0,0,0,1,12.15,27,0.91,7.41,7.2,4.16,4.9
18481,1,1,1,5,4,1,0,0,1,0,1,0,0,1,1,12.3,26.23,2.29,2.15,6.98,2.17,6.67
10301,0,1,3,5,3,1,1,0,1,1,0,0,1,0,0,11.58,29.99,2.71,3.4,7.13,1.18,6.11
1368,0,1,3,5,3,0,0,1,0,1,1,1,0,1,0,12.29,23.02,2.71,0.67,7.52,0.24,8.63
4129,0,1,4,5,4,0,0,1,0,1,0,1,0,0,1,11.88,30.55,3.72,-1.79,7.47,1.72,7.09
14630,0,1,1,4,5,0,1,0,1,0,1,1,0,0,0,12.21,28.41,2.84,3.7,7.37,-0.3,4.8
12944,0,0,1,3,3,0,1,0,0,1,1,1,0,1,0,11.7,28.72,3.29,-3.46,7.44,1.32,5.35
7631,0,1,3,4,3,1,1,1,0,0,0,0,1,1,1,11.91,27.02,1.33,-6.39,7.62,4.97,5.02
18832,1,1,4,3,3,0,0,0,1,0,0,1,1,1,0,12.05,26.83,5.06,-0.88,7.77,0.31,5.95
763,0,1,4,5,5,1,0,1,0,1,1,0,0,0,1,11.96,28.23,3.21,-3.51,7.68,0.65,6.48
13431,0,1,4,5,3,0,1,1,1,1,0,1,1,1,0,12.32,27.41,1.08,-0.61,7.23,0.99,6.18
11467,0,1,5,5,5,1,0,1,0,1,1,1,0,1,1,12.05,25.11,-0.97,5.73,7.47,1.52,5.03
18285,1,1,1,4,2,0,0,0,0,0,1,1,0,1,1,11.92,28.83,2.81,2.47,7.21,2.3,5.32
18283,1,0,4,5,1,1,0,1,0,1,0,1,0,1,0,12.16,30.53,-0.53,0.12,7.39,2.52,5.9
14769,0,1,4,5,5,1,1,1,0,1,0,0,1,1,1,11.74,28.22,2.53,5.29,7.51,3.86,5.28
13,0,1,5,3,5,0,1,1,1,1,0,1,1,0,1,12.02,30.43,1.71,4.8,7.51,0.84,6.49
16223,1,0,2,4,5,0,1,1,1,0,1,0,1,0,0,12.16,28.94,3.89,3.38,7.22,-0.12,5.69
6098,0,0,3,3,4,1,1,0,1,1,1,1,0,0,1,11.89,26.56,0.26,1.78,7.68,2.35,5.11
181,0,1,5,5,2,0,0,0,0,0,1,0,1,0,0,11.91,29.52,-0.98,0.3,7.71,-1.37,6.18
2967,0,1,3,5,4,1,1,1,0,1,1,1,1,0,0,12.14,27.46,2.13,-3.82,7.81,-2.17,6.64
10264,0,1,4,5,4,1,1,0,0,1,0,1,1,1,0,11.96,28.08,3.88,-9.74,7.69,-0.72,6.16
17102,1,1,3,1,3,1,1,1,1,0,0,1,1,1,0,11.74,24.79,2.37,-3.92,7.33,-1.37,4.76
2100,0,1,3,3,5,0,1,1,0,0,1,1,0,1,1,12.16,27.01,0.27,-0.3,7.32,-4.85,4.46
4627,0,0,3,4,4,0,1,1,1,0,1,1,0,0,1,12,26.63,1.82,0.41,7.93,3.69,6.26
6742,0,1,5,4,1,0,1,1,0,1,0,0,1,0,1,12.11,29.72,2.75,7.55,7.4,3.15,4.53
714,0,1,2,4,3,0,0,1,1,1,1,0,1,0,1,11.77,26.01,1.24,-0.75,7.53,0.52,5.83
10379,0,0,1,2,4,0,1,0,1,1,0,0,1,0,1,12.08,28.69,-0.71,5.83,7.66,0.88,5.94
14320,0,1,2,1,1,0,0,0,1,1,1,0,0,1,0,11.88,29.54,2.32,-2.7,7.25,-4.02,5.95
3374,0,0,3,1,4,1,1,0,0,0,1,1,1,1,1,11.92,26.2,3.46,-0.38,7.98,0.81,6.24
16237,1,1,3,1,1,1,1,1,0,0,1,0,0,0,1,12.16,28.14,3.17,4.84,7.33,-1.14,4.42
8396,0,0,1,3,3,1,0,0,0,1,0,1,0,0,1,11.63,26.87,2.26,-1.56,7.33,-0.09,5.82
1200,0,1,5,3,3,1,0,0,1,1,1,1,1,1,1,11.59,30.01,0.75,-3.3,7.61,2.29,5.79
16575,1,1,4,4,4,1,1,0,1,0,1,1,0,0,1,11.73,28.2,3.85,-1.1,7.64,2.95,6.84
12666,0,1,2,3,4,0,1,0,0,0,0,1,1,0,0,11.74,30.22,3.98,-5.44,7.26,0.39,4.45
19713,1,0,2,4,3,0,1,0,0,1,1,1,0,0,0,11.9,26.02,2.11,-2.62,7.7,0.24,3.82
10045,0,1,1,5,3,0,0,0,1,0,1,0,1,0,1,12.07,28.38,3.63,-1.13,7.46,2.97,4.84
1977,0,1,3,5,4,0,0,1,0,0,1,0,0,1,0,12.13,27.18,4.03,3.38,7.53,-0.05,4.57
11615,0,1,1,5,4,1,0,1,0,1,0,0,0,1,0,11.84,30.93,2.18,0.65,7.62,-0.64,5.16
19901,1,1,5,3,3,1,0,1,0,0,0,1,0,1,1,11.91,26.31,0.94,-1.3,7.44,-2.97,5.82
12788,0,0,3,2,5,0,1,1,1,1,1,1,1,1,1,11.8,28.07,1.77,-2.97,7.72,1.99,3.03
18509,1,1,4,3,4,1,1,1,0,1,1,1,1,0,1,12.38,25.27,2.1,-0.59,7.44,1.5,6.78
2744,0,1,2,5,4,1,1,1,0,0,0,0,1,0,0,12.36,28.91,0.77,1.13,7.25,0.39,5.83
4825,0,1,2,5,1,1,0,0,0,0,0,1,1,1,0,12.04,27.17,3.06,1.41,7.47,3.14,3.22
10790,0,0,4,2,3,0,0,1,1,0,0,0,0,1,1,12.26,28.91,2.07,1.83,7.85,2.17,4.26
7363,0,0,4,5,3,0,0,0,1,1,0,1,1,0,0,11.91,27.32,1.69,-4,7.36,-1.45,5.73
4020,0,1,5,4,4,0,1,0,0,0,0,1,1,1,0,12.08,27.98,1.2,-6.43,7.14,1.18,6.25
18730,1,1,5,1,2,0,0,0,1,0,1,0,0,0,0,12.24,27.68,1.78,1.85,7.28,0.9,4.52
12205,0,1,5,2,5,1,0,1,0,1,0,1,1,0,0,12.36,27.86,0.58,-1.78,7.57,-1.58,4.38
3523,0,1,5,3,4,0,0,0,1,0,0,1,1,0,1,12.17,26.75,0.21,1.43,7.73,1.87,5.82
12777,0,1,4,4,4,0,0,1,1,1,1,0,1,0,1,12.1,30.21,2.67,-0.46,7.85,1.52,6.25
18669,1,1,4,2,3,1,0,1,0,0,1,0,0,1,0,12.08,27.3,2.64,-5,7.68,1.48,6.09
14351,0,1,5,5,1,0,1,1,0,1,0,0,0,0,0,12.01,28.48,-1.23,0.61,7.8,-0.74,4.2
8355,0,1,3,5,3,0,0,0,1,0,1,1,1,0,1,12.22,27.26,1.43,-4.44,7.25,1.64,6.77
12909,0,1,1,3,1,1,1,1,0,1,0,0,1,0,0,12.26,31.37,1.26,-2.78,7.5,3.53,5.96
2160,0,0,1,4,4,1,1,1,0,0,0,0,1,0,1,11.92,28.35,0.36,2.71,7.51,3,7.99
14488,0,1,5,5,3,1,0,1,1,0,0,1,1,1,0,12.37,28.22,-0.46,7.29,7.55,-0.49,6.55
8131,0,1,1,3,4,1,0,1,0,0,1,1,0,1,1,11.95,29.95,3.22,0.05,7.49,-0.89,6.04
8061,0,0,2,4,4,0,0,1,1,1,1,1,0,1,1,12.03,27.62,4.24,-2.81,6.88,1.68,7.92
10949,0,1,3,3,4,1,0,1,0,0,0,1,1,0,0,11.87,28.01,1.8,1.61,7.78,0.05,6.06
12870,0,1,3,2,4,1,1,1,1,0,0,1,1,1,0,12.05,29.76,2.81,-0.36,7.58,3.41,5.43
8538,0,0,5,5,3,0,1,1,1,1,1,1,0,1,0,12.5,25.71,2.52,-1.32,7.39,0.5,5.96
11107,0,0,2,4,4,1,0,0,1,0,1,1,0,0,0,12.48,27.44,-0.23,-1.42,7.51,1.46,5.62
1002,0,1,2,3,4,0,1,0,1,1,0,1,0,0,1,12.08,27.56,2.47,1.33,7.6,4.04,4.53
15317,1,1,5,4,4,1,0,0,1,0,0,0,0,0,1,12.22,26.51,-0.99,-1.12,7.7,0.84,7.52
18996,1,1,2,3,5,1,0,1,0,1,0,1,0,0,0,11.72,28.28,3.33,3.48,7.23,2.82,4.75
14903,0,1,4,4,5,0,1,0,0,0,0,1,1,0,1,12.37,27.53,-0.96,1.04,7.43,-1.19,7.52
10503,0,1,4,5,3,0,0,0,1,0,0,1,0,1,1,11.87,28.62,5.44,0.81,7.48,-0.29,5.42
6254,0,1,1,2,4,1,1,1,0,0,1,0,0,0,0,12.04,26.03,0.52,-8.7,7.71,-0.6,5.74
14415,0,0,3,2,2,0,0,0,0,0,0,1,1,0,0,11.81,27.93,-1.61,8.27,7.76,2.36,6.36
2244,0,0,3,4,4,0,1,1,1,1,0,1,1,0,0,11.92,25.54,2.88,4.02,7.74,2.55,2.82
7963,0,0,1,4,5,0,0,1,1,0,0,0,0,1,0,12.01,28.61,4.99,0.94,7.68,1.5,5.65
5462,0,1,1,5,5,0,1,0,0,0,0,0,1,1,1,12.1,27.38,2.34,0.9,7.23,0.06,6.59
13170,0,0,1,4,3,0,0,1,1,0,1,1,0,0,0,12.14,28.25,3.05,-4.54,7.24,-1.08,7.15
19744,1,0,1,5,4,1,0,0,0,1,0,0,0,0,0,11.95,27.07,-0.42,-1.2,7.22,-1.87,5.5
14815,0,0,5,3,5,1,0,0,0,0,0,1,0,1,0,11.95,27.77,0.92,-2.08,7.76,-1.55,6.18
9283,0,0,1,2,3,0,0,1,0,1,0,1,0,0,0,12.11,30.05,0.78,3.95,7.66,1.03,6.3
17668,1,0,5,1,5,1,0,1,0,1,0,1,1,0,1,11.97,25.62,2.99,2.89,7.46,2.26,5.09
5190,0,1,2,4,4,1,0,0,0,0,1,1,1,0,1,12.1,24.02,2.55,-1.88,7.3,-1.5,5.15
8042,0,0,1,5,2,0,0,1,0,1,0,0,1,0,1,12.29,28.47,-0.41,-0.58,7.87,-0.5,6.05
15910,1,0,3,5,2,0,1,1,1,1,1,1,1,1,1,11.98,30.14,2.66,5.87,7.48,3.5,5.12
16397,1,1,4,1,2,1,1,0,1,1,0,0,1,1,0,12.23,29.54,0.12,1.55,7.53,0.47,5.31
15401,1,1,2,2,5,0,0,0,1,0,0,1,0,0,1,12.33,30.32,3.4,1.27,7.74,1.86,5.43
15919,1,1,1,3,1,1,1,0,0,0,1,1,0,0,1,11.93,26.7,0.44,1.45,7.36,-1.12,6.01
14281,0,1,4,5,4,1,1,1,0,1,0,0,1,1,0,12.2,30,3.53,3.41,7.09,2.54,6.71
4344,0,1,2,2,5,1,1,0,1,0,0,1,0,0,0,12.16,29.89,2.87,7.08,7,-0.11,5.7
1271,0,1,3,3,4,1,1,1,1,0,1,1,1,1,1,11.75,27.18,0.65,-5.86,7.29,-2.24,4.65
2005,0,1,5,2,5,0,1,0,1,1,1,0,1,1,1,11.69,28.8,3.73,-3.31,7.39,-1.13,5.74
4760,0,1,4,5,5,0,1,0,0,1,0,1,0,0,1,11.78,28.89,2.54,2.18,7.21,-0.04,7.78
14424,0,0,1,5,3,0,0,0,0,1,0,0,0,1,1,12.23,26.54,0.7,0.52,7.22,-0.69,6.25
13941,0,1,3,4,1,0,0,0,1,0,0,0,0,0,1,11.92,29.52,3.13,-0.12,7.14,-1.91,4.95
14709,0,1,1,4,2,1,0,1,1,1,1,0,1,1,1,11.84,27.42,-1.72,-2.61,7.26,0.59,3.84
19337,1,0,3,4,3,0,0,1,0,1,0,1,0,0,1,11.69,28.86,2.13,1.01,7.73,-0.82,6.41
14274,0,1,4,5,4,0,0,0,0,0,1,1,0,0,0,11.87,30.14,1.88,-2.66,7.32,2.63,6.59
5506,0,1,3,2,4,0,0,1,0,0,1,0,1,1,1,11.85,30.22,1.02,4.76,7.49,-1.94,5.95
4100,0,1,5,4,1,0,1,1,0,1,1,0,1,0,1,11.51,24.87,3.01,-7.24,7.74,2.54,7.25
4941,0,1,5,5,5,1,1,1,0,1,1,1,0,0,1,11.9,29.25,5.08,1.85,7.67,1.12,5.74
12002,0,0,2,4,4,0,0,0,1,1,0,0,1,0,1,12.2,28.61,1.33,-2.71,7.22,0.59,5.32
17656,1,1,2,5,3,1,1,0,0,0,0,0,0,0,0,11.55,29.49,5.51,-2.06,7.59,2.97,7.16
3455,0,1,3,5,3,1,1,1,1,0,1,1,0,1,1,12.08,27.27,5.61,1.65,7.28,-0.99,6.08
11866,0,1,2,2,5,0,1,1,0,0,1,1,1,0,0,11.77,25.17,0.46,-3.47,7.26,-0.46,5.61
14298,0,1,1,4,5,0,0,0,0,1,1,0,0,0,1,11.96,28.48,3.95,-0.05,7.5,2.55,5.2
10310,0,0,3,4,4,1,0,0,1,1,1,1,1,1,1,12.13,28.78,0.98,-0.1,7.45,2.64,6.36
13081,0,1,3,5,3,0,0,0,1,1,1,1,1,1,0,12.37,27.9,2.88,-0.04,7.55,-4.79,5.11
9395,0,1,1,4,4,1,0,1,1,0,1,0,1,0,0,11.83,26.68,3.02,5.27,7.47,1.86,6.22
2801,0,1,2,3,3,0,1,0,1,1,0,0,1,0,1,12.04,28.32,3.47,-1.52,7.5,2.44,5.09
15525,1,1,5,5,3,0,1,0,0,0,1,0,0,0,1,12.08,28.45,2.84,-8.83,7.48,-1.23,5.16
10640,0,1,5,5,3,1,0,0,1,1,0,0,1,0,0,11.89,25.21,1.13,4.65,7.19,1.48,6.69
19399,1,0,3,1,4,0,1,0,1,0,0,0,0,1,0,12.44,25.25,-0.47,-0.27,7.34,1.39,5.3
10940,0,1,1,2,4,0,1,1,0,1,1,1,0,0,1,12.18,30.19,-0.66,-1.72,7.89,1.99,6.57
14604,0,1,2,5,1,0,0,1,0,1,0,1,1,0,1,12.1,27.64,3.04,2.53,7.54,-1.82,7.35
17182,1,1,4,1,3,0,1,0,1,0,1,0,0,1,0,12.23,27.47,0.07,6.3,7.76,-0.09,8.23
8765,0,1,5,2,3,0,1,1,0,0,1,0,1,1,1,12.07,26.63,1.55,-2.46,7.4,0.46,4.08
9136,0,1,5,5,5,0,1,1,1,0,0,0,1,0,0,11.86,24.84,2.77,7.46,7.66,4.36,5.19
6710,0,1,1,4,3,1,1,0,0,1,0,1,1,0,0,12.16,29.46,2.59,0.01,7.75,-1.67,4.32
909,0,1,1,4,5,1,1,0,1,1,1,0,1,0,1,12.01,28.6,-0.44,7.4,7.81,1.07,5.4
10775,0,1,2,5,4,1,1,0,0,0,1,0,1,1,1,12.24,26.99,1.82,6.62,7.76,2.89,4.38
13322,0,1,1,5,4,0,1,1,0,0,1,0,0,0,0,12.26,25.94,-1.3,2.85,7.57,0.83,8.24
9474,0,1,2,4,3,0,0,0,1,0,1,0,0,1,1,12.12,27.66,1.54,6.2,7.81,0.33,3.39
9782,0,1,1,3,4,0,0,1,1,0,0,0,1,1,1,12.37,28.12,1.97,-0.9,7.43,-1.49,4.21
18048,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,11.88,29.55,1.28,5.04,7.62,0.25,5.55
13378,0,0,1,3,3,1,1,1,1,0,1,0,0,0,1,11.97,30.2,2,8.62,7.46,0.38,6.01
196,0,1,1,3,3,0,1,0,1,1,0,0,1,0,1,11.97,26.87,0.94,0.67,7.63,0.41,5
4400,0,1,5,3,5,0,1,1,1,0,1,0,1,1,1,12.15,30.23,2.77,-1.75,7.43,3.28,6.53
17401,1,1,2,2,4,0,1,0,0,1,1,0,1,0,1,12.05,25.78,3.34,-1.96,7.97,2.3,5.89
9319,0,1,4,2,3,1,1,0,0,0,0,1,1,0,1,12.08,28,0.97,5.47,7.52,3.25,3.36
6752,0,1,3,5,3,0,1,0,1,0,1,0,1,1,0,12.12,28.07,3.56,-1.83,7.44,1.05,7.1
