,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
602,0,5,1,2,1,0,1,0,0,1,1,0,0,0,11.95,28.23,0.47,-1.14,7.57,-1.53,5.92
10088,1,4,3,4,0,1,0,1,0,1,1,1,1,0,11.7,29.83,3.56,-2.82,7.67,2.68,5.45
16167,1,5,1,2,0,0,1,1,1,0,1,1,1,0,11.72,24.5,-0.51,2.23,7.2,-0.04,6.36
6581,0,2,5,4,0,0,0,0,0,0,1,1,0,0,12.14,26.24,0.64,2.73,7.5,-0.84,6.29
19504,0,5,5,4,0,1,0,1,0,1,1,0,0,0,12.06,27.81,4.85,-0.22,7.8,3.44,6.71
14280,1,4,5,1,1,0,0,1,1,0,0,1,0,0,11.77,23.01,2.28,4.02,7.87,4.75,6.72
9768,1,4,2,3,1,1,1,1,0,0,0,1,1,1,12.5,26.18,4,-1.91,7.58,1.5,6.71
519,1,3,2,4,0,0,1,1,0,1,0,0,0,0,11.85,27.8,0.52,4.2,7.72,-4.25,5.27
2568,1,4,5,1,1,0,1,1,1,0,1,0,0,1,12.29,27.9,1.5,6.11,7.5,3.01,6.71
14333,1,3,4,4,1,0,1,0,1,1,1,0,1,1,11.94,27.13,0.53,5.41,7.49,1.13,5.65
3155,1,1,4,4,0,0,1,0,1,1,1,0,1,0,11.68,27.61,1.59,1.26,7.64,-0.26,6.58
5252,1,5,4,4,0,1,1,1,1,0,0,1,1,0,11.85,30.89,3.27,-0.88,7.3,-1.25,4.88
17973,0,4,5,2,0,1,1,1,0,0,1,0,0,0,11.77,28.74,0.84,1,7.26,-0.1,4.73
9631,0,5,5,2,1,1,0,0,0,1,1,1,1,1,11.68,25.89,3.13,5.51,7.27,0.68,5.87
17613,1,1,2,2,0,0,0,0,1,0,0,0,0,0,12.17,26.39,0.97,-1.32,7.38,-0.49,5.31
11544,1,2,2,3,1,0,1,0,0,0,0,0,0,1,11.88,27.24,0.7,-2.25,7.73,0.73,3.95
17803,0,1,5,2,1,1,0,0,0,0,0,0,0,1,12.16,27.74,1.76,0.58,7.44,-0.27,5.99
6791,1,4,5,4,0,0,0,0,1,1,1,0,0,0,12.19,29.35,1.02,5.88,7.26,-0.04,6.79
12543,1,4,3,5,0,0,0,0,1,0,1,1,1,1,11.84,27.68,1.66,-1.15,7.3,-1.71,8.69
10838,1,4,3,2,0,1,0,1,1,1,0,1,0,0,11.74,25.96,-0.61,-0.06,7.48,1.03,6.9
15889,1,3,1,2,1,0,1,1,0,0,1,0,1,0,12.36,25.51,0.59,3.49,7.26,-2.51,5.72
14071,0,1,4,3,0,0,1,0,0,1,0,1,1,0,12.26,27.38,5.47,0.04,7.52,3.04,5.3
5334,0,1,4,3,1,0,1,1,0,0,0,0,1,1,12.06,27.07,1.9,2.55,7.54,-0.12,5
16271,1,3,2,1,0,0,1,1,0,0,0,1,1,0,12.45,25.54,0.85,4.66,7.7,1.02,6.46
8784,0,3,5,4,0,0,0,1,0,0,1,0,0,1,11.76,27.5,1.01,0.17,7.19,2.92,6.45
698,1,1,2,4,0,1,0,0,0,1,1,0,1,1,12.2,25.62,3.29,-3.9,7.4,0.57,7.18
323,1,3,5,3,1,0,0,1,1,0,0,0,1,1,11.92,26.47,1.02,-0.99,7.24,0.48,4.17
15449,1,3,2,3,0,1,0,1,0,0,1,1,0,1,12.58,28.47,3.2,0.89,7.21,-1.44,4.43
3679,0,4,2,3,1,0,0,1,0,1,1,0,0,0,12.29,30.45,2.4,1.89,7.15,-0.28,4.59
6145,1,2,4,5,0,1,1,0,1,0,0,0,1,1,12.01,26.61,-1.62,4.92,7.57,-0.29,4.53
7285,0,3,4,4,1,1,0,0,0,0,1,1,0,0,12.51,27.58,1.12,0.85,6.82,-0.51,3.82
10079,0,4,3,4,1,1,0,1,1,0,0,1,0,0,11.91,28.41,3.79,4.88,7.8,-2.51,7.64
10772,0,1,2,5,0,0,1,0,0,1,0,0,0,0,12.04,29.57,2.14,-2.03,7.97,-1.7,4.16
9267,1,4,3,5,0,0,1,1,1,1,0,1,0,1,11.59,25.58,3.11,0.83,7.42,2.53,6.33
5172,1,4,3,4,1,0,1,0,1,0,0,0,0,1,12.14,28.49,0.9,4.62,7.21,1.2,6.47
12520,0,2,4,3,0,0,0,1,0,1,1,1,0,1,11.79,29.44,0.52,3.56,7.72,-0.31,5.08
16875,1,3,4,1,0,0,1,0,0,0,1,1,1,1,11.85,27.45,2.04,-1.68,7.38,2.8,6.18
10754,0,4,5,2,0,1,1,0,0,1,1,0,1,0,12.3,22.93,-4.48,4.68,7.4,2.97,5.36
19242,1,1,1,4,1,0,0,1,1,1,1,1,0,0,12.19,28.14,-0.66,0.76,7.16,-1.05,5.58
10984,0,3,2,5,0,0,0,1,1,0,1,0,0,1,12.05,24.97,4.2,-0.13,7.63,2.7,6.56
4566,1,1,5,4,1,1,0,0,0,0,1,1,0,0,12,25.23,1.39,6.16,7.64,0.34,5.03
10555,1,5,3,3,1,1,1,0,0,0,0,0,0,1,12,28.3,2.61,0.52,7.38,3.15,5.68
10826,1,1,5,5,1,0,1,0,1,0,0,1,1,1,11.77,28.42,0.72,0.33,7.37,-0.76,6.8
3512,1,1,1,5,1,1,1,0,0,1,0,1,0,0,12.11,27.34,-0.9,-0.69,7.31,1.82,5.08
10539,1,1,4,4,1,0,1,1,1,0,0,0,0,0,12.06,29.25,0.95,2.22,7.22,3.5,6.97
16086,1,2,1,2,1,1,1,0,0,0,1,0,1,0,11.98,29.02,1.73,4.07,7.39,-0.98,6.1
13744,1,4,3,4,1,0,0,1,1,0,1,1,0,0,12.01,29.12,2.04,-4.33,7.03,-0.99,4.67
18833,1,2,4,3,0,0,0,1,0,1,0,0,0,0,12.04,28.91,1.46,2.01,7.58,1.58,6.22
11893,1,2,4,3,0,0,0,0,1,1,1,0,1,1,11.96,27.71,1.09,0.3,7.65,2.41,4.75
8817,1,5,3,3,1,0,0,0,0,0,1,1,0,0,12.08,26.38,3.32,0.45,7.8,-0.53,6.26
7333,1,1,4,4,0,0,1,1,1,1,1,1,0,0,12.03,26.71,4.78,-0.1,7.09,-4.86,7.44
3955,0,5,5,3,1,0,0,0,1,0,0,0,1,0,11.76,28.25,4.01,-4.55,7.87,0.84,6.37
4265,1,2,2,3,1,0,0,1,0,1,0,0,0,0,12.12,27.23,2.26,-10.92,7.48,2.64,6.02
12235,0,2,5,4,1,1,0,1,1,1,1,1,1,0,12.16,27.56,1.95,3.35,8.1,4.05,5.21
1783,0,2,4,3,1,1,1,1,0,1,1,1,1,1,12.03,28.22,2.58,3.28,7.42,-2.96,4.18
2852,1,5,3,4,0,0,0,1,1,0,0,0,0,0,12.37,26.72,3.61,0.39,7.05,0.13,7.93
19205,0,3,4,4,0,0,1,1,1,1,0,0,0,1,11.56,27.99,2.18,1.33,7.44,3.03,6.23
16963,1,3,1,4,0,1,1,0,0,0,1,1,0,1,11.89,28.32,2.57,-2.85,7.43,-1.5,6.28
15491,1,4,3,1,1,1,1,0,1,1,0,1,1,1,12.05,31.42,2.33,-1.51,7.76,1.14,6.08
7269,0,2,2,5,0,0,0,0,1,0,0,1,1,0,12.3,29.87,1.73,0.62,7.12,0.51,5.66
3293,1,1,5,5,0,1,0,0,0,0,1,0,0,1,11.8,28.62,-0.56,2.89,7.36,-0.44,4.7
2793,1,2,4,3,1,0,1,1,1,0,1,1,1,0,11.59,26.56,2.1,2.59,7.6,2.07,7.93
11475,1,4,3,4,0,1,0,1,1,1,0,1,1,1,12.04,30.13,-1.09,5.88,7.44,0.8,5.55
2536,1,1,5,4,0,1,0,0,1,0,0,1,0,1,12.16,28.54,1.51,4.55,7,-1.89,6.12
17802,0,4,5,2,1,0,0,1,0,1,0,0,0,0,11.81,25.39,0.83,-2.1,7.19,-2.56,5.25
19836,0,1,3,3,0,1,0,0,0,0,1,1,0,1,12.47,25.68,4.31,0.01,7.63,1.68,4.97
7837,0,2,4,4,0,1,1,0,0,0,0,1,1,1,11.79,27.61,4.14,1.02,7.96,-0.22,6.24
5201,1,3,3,3,0,1,1,1,1,0,1,1,1,1,12.1,27.39,0.46,0.31,7.56,2.2,5.82
3985,1,3,3,4,1,1,0,0,0,0,1,0,0,1,12.12,28.82,-1.81,-5.36,7.38,-1.3,6.76
15147,1,2,5,2,0,0,0,0,1,1,1,0,0,1,12.01,28.8,5.51,2.92,7.47,2.01,5.17
11752,0,1,4,4,1,0,1,1,0,0,0,1,0,0,12.23,28.17,0.24,-0.74,7.8,1.74,5.43
18864,1,2,1,3,0,1,1,0,0,0,1,1,0,0,12.1,24.75,2.91,-0.41,7.14,-0.54,6.45
12823,0,1,4,3,1,0,1,1,1,0,1,0,0,0,11.73,29.14,2.27,0.18,7.93,-0.34,5.03
1396,1,1,4,2,0,1,1,0,0,0,0,0,0,0,11.83,25.49,2.94,3.88,7.35,0.33,7.02
1294,1,2,5,5,1,1,1,1,1,0,0,1,1,1,11.84,29.37,4.07,5.85,7.3,-1.81,5.73
676,0,1,5,2,1,0,0,0,1,1,0,1,1,0,12.15,24.33,3.71,2.75,7.39,1.16,4.79
16748,1,4,4,3,1,0,1,0,0,0,1,1,0,0,12.2,29.37,1.58,0.8,7.38,1.24,6.34
8289,1,5,2,5,0,1,1,1,1,1,1,0,0,0,11.71,25.79,-0.41,-0.2,7.56,3.19,5.15
11313,1,3,2,3,0,0,1,0,0,0,0,1,1,0,11.99,25.77,2.31,2.43,7.56,-2.19,4.05
11765,1,4,3,3,0,0,0,1,0,0,0,0,0,1,11.84,26.38,3.74,1.72,7.52,0.19,5.48
11864,1,3,3,3,1,0,1,0,1,0,1,1,0,1,12,27.27,0.67,-0.42,7.63,-0.85,6.58
8675,1,5,3,4,0,0,1,1,1,1,0,0,0,0,12.15,23.68,2.48,3.38,7.65,-0.71,5.3
6400,0,4,5,3,0,1,0,1,1,0,0,0,0,0,11.98,27.44,5.76,2.29,7.58,2.21,6.45
2177,1,5,4,2,1,1,1,1,0,1,1,1,0,0,11.76,29.18,0.17,-1.82,7.49,0.51,5.18
10950,1,3,3,4,1,1,1,1,0,0,1,0,0,1,12.15,28.97,1.1,-0.58,7.69,2.59,4.99
9134,1,4,2,2,0,1,0,1,0,0,0,0,0,1,12.28,30.01,1.56,-4.63,7.81,-2.8,5.26
15598,0,3,2,4,0,0,0,1,1,1,0,1,1,1,11.9,29.67,4.52,0.64,7.71,-1.71,4.77
733,0,4,5,4,0,0,0,1,0,1,0,0,1,0,12.2,25.98,0.77,2.18,7.43,1.6,3.78
2295,0,2,4,3,1,0,0,1,1,1,0,1,1,1,11.89,28.16,1.68,5.39,7.52,-0.46,4.77
6849,1,1,4,4,0,1,0,1,1,1,1,1,0,0,11.57,27.47,1.62,-4.29,7.14,0.04,6.6
16012,0,5,1,5,0,1,1,1,0,0,0,1,0,0,11.75,26.73,2.04,-2.48,7.64,3.34,6.9
1444,0,5,4,4,0,0,0,0,0,1,0,0,1,1,11.92,27.8,-0.95,-1.27,7.62,0.32,5.39
11777,1,5,4,4,1,0,0,1,0,1,0,1,1,1,12.33,29.25,2.89,7.62,7.43,1.36,4.94
14741,1,2,2,2,1,1,0,0,0,0,0,0,0,1,12.14,29.8,2.45,-5.44,7.58,0.36,5.69
118,1,1,5,5,0,1,0,1,1,1,1,1,0,0,11.79,26.1,1.59,-5.44,7.4,-2.01,5.39
12065,1,4,1,4,1,0,1,1,1,0,1,1,0,0,12.15,26.38,2.62,-0.4,7.44,1.57,7.03
11299,1,4,4,3,0,1,1,1,0,0,0,1,0,0,12.4,25.69,4.45,6.57,7.5,3.7,6.27
696,1,4,3,4,0,0,0,0,1,0,0,0,0,0,12.27,28.86,-0.07,-1.45,7.36,1.4,6.37
15692,1,3,3,3,0,0,0,1,1,0,0,1,1,0,12.19,27.54,0.93,3.56,7.5,0.78,6.19
16871,1,3,5,1,1,1,0,0,0,0,1,1,0,1,12.11,27.37,-0.64,-2.64,7.23,1.65,8
12384,1,3,3,2,1,1,1,1,0,0,0,1,1,0,11.81,30.12,-0.79,0.46,7.73,1.27,7.97
19218,1,3,5,5,1,0,1,0,1,1,0,0,0,0,12.1,27.23,4.09,1.32,7.66,0.33,6.45
10433,0,2,3,2,1,0,1,0,1,0,1,0,0,1,12.02,28.74,-1.08,-1.36,7.49,0.91,6.75
8167,1,2,5,3,1,1,0,1,1,0,0,0,0,1,12.13,29.46,-1.22,-5.41,7.26,-0.09,4.87
13263,1,3,2,3,1,1,0,1,1,1,1,0,0,1,11.69,28.99,1.37,-2.32,8.07,0.16,6.81
12429,1,1,4,5,0,1,1,1,1,1,0,0,1,0,11.82,26.22,0.57,2.53,7.25,0.78,4.4
3573,1,4,2,4,0,1,1,0,1,1,0,1,0,1,12.25,26.33,0.74,-2.88,7.98,0.86,6.5
12906,1,4,2,2,0,0,0,1,1,0,1,0,1,1,11.8,29.62,1.1,1.77,7.17,-2.33,6.27
17429,1,4,4,1,0,1,0,0,0,1,1,0,1,1,12,30.24,1.26,3.37,7.43,0.11,5.34
11729,1,4,2,5,1,0,0,1,0,0,0,0,0,1,11.98,28.3,1,4.51,7.11,-1.06,6.46
12018,1,4,5,3,0,1,0,1,1,1,1,0,1,1,12,27.83,-0.4,-1.12,7.21,1.01,7.34
9453,1,5,3,3,0,0,1,1,0,1,0,0,1,1,11.72,27.54,3.06,7.3,7.22,3,6.31
11553,1,1,2,3,1,1,1,0,0,0,1,0,1,0,12.34,27.22,0.4,2.55,7.06,-0.31,5.58
880,1,3,5,3,1,0,0,1,0,1,0,1,0,0,11.69,26.52,2.97,5.59,7.72,1.66,3.88
9717,1,5,5,3,0,0,0,0,1,0,1,1,0,0,12.22,30.05,1.55,-0.35,7.36,-1.88,4.86
2708,0,3,4,5,0,1,0,1,1,1,1,1,1,0,12.06,28.99,-0.06,4.19,7.43,1.62,5.25
4099,1,4,5,3,0,1,1,1,0,1,0,1,1,0,12,26.51,3.14,3.05,6.97,-0.29,7.21
19682,0,3,1,3,1,0,1,0,0,0,0,0,0,0,11.95,30.57,0.5,-0.18,7.77,-1.1,5.86
16293,1,1,3,3,0,0,0,0,0,1,1,0,0,1,12.11,29.58,1.65,-0.79,7.53,-5.36,6.29
5823,1,4,5,2,0,0,1,0,0,0,1,0,1,1,11.71,26.77,2.83,3.33,7.62,0.53,7.38
15418,1,1,1,4,1,0,0,1,0,0,1,0,1,0,11.83,27.02,1.68,2.97,7.27,-1.72,5.11
13113,0,2,4,4,0,0,0,1,0,1,1,1,0,0,11.91,28.52,2.15,1.73,7.34,0.86,5.54
19889,1,3,3,3,1,0,0,0,0,1,0,0,0,0,11.9,27.99,1.57,3.21,7.62,-0.95,5.81
14218,1,2,3,5,1,0,0,0,0,0,1,0,1,0,11.9,27.49,-0.35,4.65,7.24,2.1,6.56
16755,1,2,1,3,0,0,0,0,0,0,0,0,1,0,11.96,29.6,0.58,-4.79,7.04,4.07,7.44
15600,1,4,5,4,1,1,1,1,0,0,0,1,0,1,11.95,29.78,1.98,1.02,7.35,-0.75,5.67
10214,0,4,4,5,0,1,0,1,1,1,1,1,0,1,12.13,27.46,0.27,-2.24,7.28,-2.21,6.43
7298,1,2,5,5,0,0,0,0,0,1,0,1,0,0,11.83,29.25,1.09,-1.87,7.45,-0.33,3.65
268,1,3,5,5,0,1,0,0,1,1,0,0,1,0,12.06,27.39,3.09,0.44,7.31,-2.16,6.69
8315,0,5,3,3,1,1,1,0,1,1,0,0,0,0,12.5,29.73,0.4,-4.43,7.69,0.99,5.65
5182,1,1,5,5,0,0,1,1,0,1,1,0,0,1,11.98,29.14,1.23,-3.47,7.75,0.62,5.7
18874,1,2,5,2,1,0,1,1,1,0,0,0,1,1,12.38,27.76,1,-3.34,7.71,-0.04,4.63
12060,1,4,5,3,1,0,0,1,1,1,1,0,0,1,12.21,29.77,3.04,2.19,7.83,1.28,2.83
16030,0,4,2,3,0,1,0,1,1,1,1,1,1,0,12.26,24.91,2.49,2.9,7.67,3.1,5.02
18631,1,5,4,1,0,1,1,0,0,1,0,0,0,0,12.14,24.3,3.6,-2.49,7.89,1.15,6.86
4574,1,4,4,4,1,0,1,0,1,0,0,1,0,0,12.56,31.82,2.72,3.16,7.79,-0.99,4.97
2379,1,3,3,3,1,0,1,0,0,0,0,0,0,0,11.92,25.59,1.31,-6.86,7.44,-1.32,5.3
14901,1,5,2,5,1,1,0,0,1,1,1,1,0,0,12.08,25.56,1.04,2.61,7.12,0.63,5.1
8587,1,4,3,3,0,0,1,0,0,1,1,1,0,1,11.74,29.79,2.82,-1.2,7.59,0.84,3.12
14346,1,4,5,5,0,0,0,0,1,0,1,0,1,0,12,27.79,3.05,1.43,7.07,-2.54,6.1
19707,1,1,4,3,0,1,0,1,1,0,0,0,0,0,12.44,26.12,1.83,3.21,7.65,0.4,5.37
8720,1,5,4,2,1,0,0,1,0,0,0,0,0,1,12.07,27.28,2.02,2.07,7.35,-1.16,4.97
16136,0,4,5,1,1,0,1,1,1,0,1,1,1,0,11.86,28.34,-1.86,2.83,7.72,2.17,4.45
1080,1,4,5,3,1,1,1,0,1,1,1,1,0,1,11.81,25.49,2.79,-1.48,7.6,1.87,6.38
11911,0,2,1,2,1,0,0,1,1,1,0,0,0,1,12.01,27.99,-1.99,0.95,7.5,0.35,7.2
10273,1,1,4,4,1,0,0,0,0,0,1,0,0,1,12.05,28.7,0.28,2.62,7.18,0.45,6.13
4403,1,5,3,1,1,1,0,1,0,0,1,1,1,1,12.22,26.63,-0.6,4.26,7.9,-1.81,5.76
543,1,5,5,3,1,0,1,1,1,1,1,1,0,1,12.08,27.56,1.15,-0.8,7.31,2.13,6.92
3785,1,3,3,3,0,0,0,0,1,0,1,1,1,0,12.05,27.11,2.59,5.56,7.41,1.57,5.57
15322,1,5,3,5,1,1,0,1,0,1,0,1,0,0,12.14,28.69,2.25,0.21,7.34,0.54,5.94
1603,0,1,2,4,1,0,0,0,1,0,1,0,0,0,12.24,28.36,4.35,0.98,7.42,1.88,6.47
11586,1,3,2,5,0,1,1,0,1,1,1,0,0,1,11.78,27.93,2.09,-6.8,7.02,-1.17,5.86
16667,0,1,4,4,1,0,0,1,1,1,1,0,1,0,11.64,27.24,1.09,2.96,7.43,-0.91,4.8
16094,1,4,2,2,0,1,0,1,0,0,1,1,0,0,11.96,26.23,-0.72,-3.4,7.41,1.16,5.91
3994,0,3,4,4,1,1,1,0,0,1,1,1,0,1,12.07,27.73,1.45,-5.96,7.41,0.8,6.22
5158,1,3,5,3,1,1,1,0,1,1,1,0,0,0,11.87,25.94,2.1,-2.01,7.55,-0.11,6.71
269,1,3,5,3,0,1,0,0,1,0,1,1,1,1,12.5,28.09,4.98,1.62,7.77,4.18,5.2
10617,1,3,3,3,1,0,0,0,0,1,0,0,0,1,11.88,24.8,-2.74,0.73,7.41,-2,5.5
18890,1,1,3,1,1,1,0,1,0,1,0,0,1,0,12.48,28.71,0.01,3.92,7.49,-1.41,5.92
4634,0,3,5,4,0,1,1,0,1,0,0,1,1,1,11.96,31.1,3.15,-2.38,7.33,4.4,6.04
9884,0,2,5,5,1,1,0,0,0,0,1,0,0,0,12.2,28.97,2.04,2.09,7.69,0.25,5.65
11757,1,1,2,4,1,1,0,0,0,0,0,1,1,1,11.72,26.38,0.93,2.38,7.88,0.02,5.08
11819,0,3,4,4,1,0,0,1,0,0,1,0,0,1,12.43,31.32,0.72,4,7.57,1.75,6.15
16592,1,1,4,4,1,1,1,1,0,0,0,1,1,1,12.12,28.79,1.34,1.68,7.41,-2.78,6.57
13669,0,5,3,3,0,1,1,0,0,1,1,1,0,1,11.97,27.36,1.73,-2.13,7.29,-0.69,8.43
15252,1,3,2,3,1,1,0,1,1,0,0,0,0,0,12.26,25.3,-0.62,-1.5,7.88,-0.69,6.34
2883,0,1,5,3,1,0,1,1,0,1,0,1,1,1,11.65,28.31,1.01,3.67,7.72,-0.63,6.71
13723,1,2,2,4,1,0,1,0,1,0,0,1,0,0,11.87,29.18,4.14,3.61,7.3,0.37,5.29
11886,1,2,4,4,0,0,1,0,1,1,1,0,1,1,12.19,29.77,1.02,-1.39,7.13,0.59,3.75
13665,1,1,1,1,0,1,1,0,0,0,0,1,1,0,12.27,31.04,1.9,-0.65,7.61,-1.22,6.35
1088,1,2,4,5,0,0,0,0,1,1,0,0,1,0,12.09,29.76,0.57,0.08,7.53,1.24,5.99
6070,1,4,3,3,1,0,1,1,0,0,0,1,1,0,11.98,24.06,3.88,-6.06,7.21,-1.06,6.09
3996,1,3,1,4,1,1,1,0,1,1,1,0,0,1,12.08,29.38,3.3,-0.3,7.42,1.15,5.5
3848,1,2,1,3,0,0,1,1,1,1,0,1,1,0,11.82,27.88,3.36,2.48,8.05,-1.53,7.38
9574,1,1,5,4,1,1,1,1,0,0,1,1,0,1,12.45,30.99,1.42,4.3,7.33,5.37,7.41
5655,1,5,5,5,1,0,0,1,1,0,0,0,0,0,11.83,29.91,-3.18,-0.66,7.6,2.78,5.27
15643,0,4,4,2,0,0,0,1,1,1,0,1,1,0,12.03,24.93,4.21,3.76,7.35,3.15,5.74
19672,1,4,4,2,1,1,1,0,0,0,1,1,1,0,12.04,25.81,3.66,-3.78,7.22,0.48,3.59
16697,0,3,3,3,1,0,0,0,1,0,0,1,1,0,12.02,28.97,4.01,-1.96,7.28,-0.73,4.77
12132,1,5,4,1,0,1,1,1,0,0,0,0,1,1,12.06,26.11,1.88,5.08,7.45,-0.64,5.74
1713,1,1,5,5,0,0,1,0,1,1,1,0,1,0,12.06,25.71,3.74,-1.34,7.67,1.92,6.3
13120,1,3,5,4,1,0,1,1,1,1,0,1,0,0,12.12,28.49,-0.63,0.47,7.78,1.13,5.55
11140,1,4,2,3,1,0,0,0,0,0,0,1,1,0,12.11,28.25,3.94,-2.3,7.34,-2.88,4.59
17134,1,5,5,1,0,1,0,0,0,0,0,1,0,1,12.27,27.34,3.16,-1.95,7.77,1.61,5.69
5298,1,1,2,3,0,0,1,0,1,0,1,0,0,1,12.24,27.26,4.06,3.89,7.29,1.57,4.74
713,1,1,2,3,1,0,1,0,0,0,1,1,0,1,12.01,29.35,0.98,4.61,7.45,-4.49,5.15
2648,1,5,4,4,0,1,1,1,1,1,0,0,1,0,11.97,28.05,-1.56,1.71,7.6,0.9,7.71
11792,1,3,5,5,1,0,1,1,0,0,0,0,1,0,12.17,26.62,1.49,-1.72,7.36,-0.95,4.75
13927,1,2,2,3,0,1,0,1,0,0,1,1,1,0,11.93,29.99,2.44,-2.48,7.56,-0.41,5.31
2681,0,4,1,4,0,1,0,1,0,1,0,1,1,1,11.9,26.23,-1.62,6.33,7.65,1.12,5.01
4930,1,1,3,5,1,1,1,0,1,0,1,0,1,0,12.27,27.31,1.49,6.98,7.44,2.31,5.54
19226,1,5,5,1,1,1,0,1,0,0,1,1,0,1,12.41,27.99,0.84,0.93,7.14,-0.08,7.38
4182,0,1,2,3,1,0,1,1,0,0,0,1,1,1,12.24,28.01,-0.62,1.12,7.49,0.94,6.29
3134,1,3,5,4,1,0,0,0,0,1,1,1,1,0,12.16,28.61,1.42,-0.34,7.37,0.37,5.83
1429,1,1,4,3,1,1,1,1,1,1,1,1,1,0,12.01,24.91,1.67,5.98,7.95,2.56,5.35
19221,0,3,3,3,0,0,0,1,1,1,0,0,0,0,11.83,29.56,2.45,-1.8,7.46,-0.57,5.05
16663,1,4,3,3,1,1,1,0,1,0,1,1,0,1,11.93,24.17,1.91,-2.98,7.3,3.98,5.26
2377,1,5,4,4,0,1,1,1,0,1,1,0,1,1,12.16,28.36,1.8,-6.6,7.55,2.35,7.1
15540,1,5,4,1,1,0,0,1,1,1,0,1,0,0,11.88,28.71,5.84,-3.02,7.74,0.17,4.12
16053,1,1,5,4,1,1,0,0,1,0,1,1,0,1,12.17,27.71,-0.47,-6.99,7.37,2,6.1
6670,1,2,2,4,1,1,0,0,1,0,1,1,0,1,12.02,27.01,4.46,4.73,7.63,-1.06,4.78
6361,1,2,4,4,0,0,1,1,0,1,1,0,0,0,11.82,27.4,2.35,6.25,7.44,2.47,4.68
19393,0,2,4,2,1,0,0,1,0,0,1,0,0,1,11.97,26.51,-1.52,-1.56,7.28,-1.74,4.67
8580,1,2,5,5,0,0,1,1,1,1,0,0,0,1,11.85,28.14,3.09,-7.85,7.4,3.8,4.47
8811,0,4,2,3,1,0,1,1,0,1,0,1,0,1,12,29.64,2.73,-0.59,7.18,-0.02,6.85
13719,1,2,4,3,1,1,0,0,1,0,1,1,0,0,12.31,29.02,1.46,-1.53,7.58,-0.9,7.22
7673,1,2,2,4,0,0,1,1,1,1,0,0,0,0,12.24,26.68,3.38,-2.09,7.22,1.21,4.76
7384,0,5,5,4,0,1,1,1,0,0,1,0,1,1,11.45,26.82,-1.23,10.39,7.15,2.39,5.15
2082,1,5,3,3,0,1,0,1,1,0,1,1,0,1,11.99,26.19,0.48,-10.94,7.48,0.93,5.84
949,1,1,2,5,1,1,1,1,1,1,1,0,0,1,12.24,26.74,1.77,3.15,7.36,0.81,6.85
